State,Year,Race,Births,Female.Population,Fertility.Rate
Alabama,2003,American Indian or Alaska Native,17,1230,13.82113821
Alabama,2003,Asian or Pacific Islander,22,1462,15.04787962
Alabama,2003,Black or African American,3603,52716,68.34737082
Alabama,2003,White,4625,102069,45.31248469
Alabama,2004,American Indian or Alaska Native,25,1246,20.06420546
Alabama,2004,Asian or Pacific Islander,27,1556,17.35218509
Alabama,2004,Black or African American,3586,53413,67.13721379
Alabama,2004,White,4650,103044,45.12635379
Alabama,2005,American Indian or Alaska Native,24,1295,18.53281853
Alabama,2005,Asian or Pacific Islander,28,1593,17.57689893
Alabama,2005,Black or African American,3386,54231,62.43661374
Alabama,2005,White,4483,104582,42.86588514
Alabama,2006,American Indian or Alaska Native,25,1305,19.15708812
Alabama,2006,Asian or Pacific Islander,26,1685,15.43026706
Alabama,2006,Black or African American,3774,55678,67.78260713
Alabama,2006,White,4875,106040,45.97321765
Alaska,2003,American Indian or Alaska Native,426,5816,73.24621733
Alaska,2003,Asian or Pacific Islander,63,1572,40.07633588
Alaska,2003,Black or African American,58,1210,47.9338843
Alaska,2003,White,519,16916,30.68101206
Alaska,2004,American Indian or Alaska Native,455,6036,75.38104705
Alaska,2004,Asian or Pacific Islander,75,1636,45.84352078
Alaska,2004,Black or African American,41,1242,33.01127214
Alaska,2004,White,511,16830,30.36244801
Alaska,2005,American Indian or Alaska Native,440,6178,71.2204597
Alaska,2005,Asian or Pacific Islander,81,1732,46.76674365
Alaska,2005,Black or African American,52,1212,42.90429043
Alaska,2005,White,477,16880,28.25829384
Alaska,2006,American Indian or Alaska Native,473,6273,75.40251873
Alaska,2006,Asian or Pacific Islander,94,1830,51.36612022
Alaska,2006,Black or African American,62,1279,48.47537138
Alaska,2006,White,480,16941,28.33362848
Arizona,2003,American Indian or Alaska Native,1183,15663,75.52831514
Arizona,2003,Asian or Pacific Islander,136,4773,28.49360989
Arizona,2003,Black or African American,585,8770,66.70467503
Arizona,2003,White,9864,157414,62.6627873
Arizona,2004,American Indian or Alaska Native,1174,16262,72.19284221
Arizona,2004,Asian or Pacific Islander,123,5027,24.46787348
Arizona,2004,Black or African American,570,9359,60.90394273
Arizona,2004,White,10060,162386,61.95115342
Arizona,2005,American Indian or Alaska Native,1232,16969,72.60298191
Arizona,2005,Asian or Pacific Islander,115,5503,20.89769217
Arizona,2005,Black or African American,596,10256,58.11232449
Arizona,2005,White,10071,168769,59.67328123
Arizona,2006,American Indian or Alaska Native,1261,17594,71.67216096
Arizona,2006,Asian or Pacific Islander,121,6000,20.16666667
Arizona,2006,Black or African American,638,10973,58.14271393
Arizona,2006,White,10976,174815,62.78637417
Arkansas,2003,American Indian or Alaska Native,43,1065,40.37558685
Arkansas,2003,Asian or Pacific Islander,24,1153,20.81526453
Arkansas,2003,Black or African American,1628,19525,83.38028169
Arkansas,2003,White,3998,72405,55.21718113
Arkansas,2004,American Indian or Alaska Native,41,1039,39.46102021
Arkansas,2004,Asian or Pacific Islander,36,1264,28.48101266
Arkansas,2004,Black or African American,1675,19440,86.16255144
Arkansas,2004,White,4074,73025,55.78911332
Arkansas,2005,American Indian or Alaska Native,30,1153,26.01908066
Arkansas,2005,Asian or Pacific Islander,30,1347,22.27171492
Arkansas,2005,Black or African American,1646,19829,83.00973322
Arkansas,2005,White,4038,73950,54.60446247
Arkansas,2006,American Indian or Alaska Native,57,1149,49.60835509
Arkansas,2006,Asian or Pacific Islander,32,1513,21.15003305
Arkansas,2006,Black or African American,1730,20225,85.53770087
Arkansas,2006,White,4224,74871,56.4170373
California,2003,American Indian or Alaska Native,410,25233,16.24856339
California,2003,Asian or Pacific Islander,2129,156570,13.5977518
California,2003,Black or African American,4495,105342,42.67053977
California,2003,White,43017,944376,45.55071285
California,2004,American Indian or Alaska Native,412,26541,15.52315286
California,2004,Asian or Pacific Islander,2007,160885,12.47474904
California,2004,Black or African American,4500,109652,41.03892314
California,2004,White,43527,963295,45.18553506
California,2005,American Indian or Alaska Native,440,28182,15.6128025
California,2005,Asian or Pacific Islander,2021,165328,12.22418465
California,2005,Black or African American,4524,113778,39.76164109
California,2005,White,43805,986225,44.416842
California,2006,American Indian or Alaska Native,512,29535,17.33536482
California,2006,Asian or Pacific Islander,1989,170560,11.66158537
California,2006,Black or African American,4916,116774,42.09841232
California,2006,White,46065,1007266,45.73270616
Colorado,2003,American Indian or Alaska Native,102,3154,32.33988586
Colorado,2003,Asian or Pacific Islander,139,4782,29.06733584
Colorado,2003,Black or African American,468,8139,57.50092149
Colorado,2003,White,6105,139523,43.75622657
Colorado,2004,American Indian or Alaska Native,100,3286,30.43213634
Colorado,2004,Asian or Pacific Islander,107,4780,22.38493724
Colorado,2004,Black or African American,482,8372,57.57286192
Colorado,2004,White,6186,140042,44.17246255
Colorado,2005,American Indian or Alaska Native,101,3414,29.58406561
Colorado,2005,Asian or Pacific Islander,92,4917,18.71059589
Colorado,2005,Black or African American,464,8679,53.46238046
Colorado,2005,White,6085,141824,42.90529106
Colorado,2006,American Indian or Alaska Native,86,3642,23.61339923
Colorado,2006,Asian or Pacific Islander,92,5019,18.33034469
Colorado,2006,Black or African American,450,9013,49.92788195
Colorado,2006,White,6203,142752,43.45298139
Connecticut,2003,American Indian or Alaska Native,14,664,21.08433735
Connecticut,2003,Asian or Pacific Islander,29,3769,7.694348634
Connecticut,2003,Black or African American,719,15764,45.61025121
Connecticut,2003,White,2116,95116,22.24652004
Connecticut,2004,American Indian or Alaska Native,18,665,27.06766917
Connecticut,2004,Asian or Pacific Islander,38,3964,9.586276488
Connecticut,2004,Black or African American,726,16440,44.16058394
Connecticut,2004,White,2134,96575,22.09681595
Connecticut,2005,American Indian or Alaska Native,13,719,18.08066759
Connecticut,2005,Asian or Pacific Islander,26,4074,6.381934217
Connecticut,2005,Black or African American,706,17401,40.5723809
Connecticut,2005,White,2097,98393,21.31249174
Connecticut,2006,American Indian or Alaska Native,14,772,18.13471503
Connecticut,2006,Asian or Pacific Islander,18,4163,4.323804948
Connecticut,2006,Black or African American,803,17938,44.76530271
Connecticut,2006,White,2074,99406,20.86393175
Delaware,2003,American Indian or Alaska Native,8,177,45.19774011
Delaware,2003,Asian or Pacific Islander,9,732,12.29508197
Delaware,2003,Black or African American,506,7560,66.93121693
Delaware,2003,White,713,20493,34.79236813
Delaware,2004,American Indian or Alaska Native,8,196,40.81632653
Delaware,2004,Asian or Pacific Islander,12,758,15.83113456
Delaware,2004,Black or African American,522,7871,66.31940033
Delaware,2004,White,661,20730,31.88615533
Delaware,2005,American Indian or Alaska Native,12,217,55.29953917
Delaware,2005,Asian or Pacific Islander,10,813,12.300123
Delaware,2005,Black or African American,495,8344,59.3240652
Delaware,2005,White,725,21190,34.21425201
Delaware,2006,American Indian or Alaska Native,9,234,38.46153846
Delaware,2006,Asian or Pacific Islander,12,829,14.47527141
Delaware,2006,Black or African American,535,8714,61.39545559
Delaware,2006,White,743,21354,34.79441791
District of Columbia,2003,American Indian or Alaska Native,4,84,47.61904762
District of Columbia,2003,Asian or Pacific Islander,8,667,11.994003
District of Columbia,2003,Black or African American,819,12217,67.0377343
District of Columbia,2003,White,40,6839,5.848808305
District of Columbia,2004,American Indian or Alaska Native,4,105,38.0952381
